moy,Accessible suburbia,Concentrated urbanity,Connected residential neighbourhoods,Countryside agriculture,Dense residential neighbourhoods,Dense urban neighbourhoods,Disconnected suburbia,Gridded residential quarters,Hyper concentrated urbanity,Local urbanity,Metropolitan urbanity,Open sprawl,Regional urbanity,Urban buffer,Warehouse/Park land,Wild countryside
2005-09,1069.0,17.0,347.0,1083.0,888.0,816.0,588.0,285.0,,437.0,38.0,2292.0,151.0,2383.0,620.0,49.0
2005-10,1024.0,11.0,266.0,971.0,710.0,715.0,547.0,238.0,1.0,490.0,54.0,2080.0,190.0,1956.0,548.0,44.0
2005-11,1030.0,13.0,308.0,1024.0,678.0,736.0,523.0,242.0,2.0,512.0,39.0,2274.0,169.0,2307.0,516.0,53.0
2005-12,1657.0,28.0,455.0,1577.0,1223.0,1052.0,995.0,424.0,6.0,855.0,58.0,3613.0,337.0,3727.0,893.0,78.0
2006-01,744.0,6.0,165.0,678.0,543.0,479.0,419.0,149.0,,362.0,41.0,1481.0,101.0,1515.0,438.0,28.0
2006-02,988.0,11.0,254.0,738.0,625.0,527.0,472.0,175.0,,434.0,32.0,1905.0,117.0,1743.0,469.0,48.0
2006-03,1292.0,23.0,419.0,1083.0,916.0,833.0,744.0,260.0,,554.0,40.0,2752.0,201.0,2546.0,631.0,64.0
2006-04,1194.0,14.0,354.0,892.0,658.0,579.0,556.0,204.0,1.0,461.0,27.0,2220.0,160.0,2036.0,578.0,43.0
2006-05,1206.0,9.0,346.0,966.0,769.0,864.0,621.0,291.0,1.0,571.0,41.0,2394.0,163.0,2134.0,582.0,96.0
2006-06,1894.0,7.0,556.0,1505.0,1346.0,1207.0,921.0,472.0,1.0,868.0,51.0,3787.0,295.0,3787.0,893.0,109.0
2006-07,1067.0,6.0,334.0,926.0,779.0,771.0,500.0,257.0,,500.0,21.0,2058.0,178.0,2178.0,426.0,67.0
2006-08,1019.0,7.0,355.0,963.0,748.0,726.0,519.0,223.0,,449.0,30.0,2104.0,147.0,2244.0,499.0,47.0
2006-09,1012.0,4.0,342.0,1130.0,893.0,885.0,599.0,280.0,5.0,523.0,30.0,2453.0,156.0,2132.0,536.0,81.0
2006-10,1073.0,6.0,315.0,963.0,822.0,738.0,540.0,228.0,3.0,453.0,31.0,2118.0,185.0,2090.0,512.0,60.0
2006-11,1004.0,12.0,329.0,1042.0,1012.0,777.0,528.0,276.0,,480.0,29.0,2420.0,243.0,2081.0,591.0,75.0
2006-12,1708.0,24.0,542.0,1717.0,1483.0,1247.0,803.0,494.0,5.0,756.0,65.0,3660.0,272.0,3327.0,764.0,104.0
2007-01,647.0,14.0,275.0,516.0,664.0,534.0,349.0,218.0,3.0,393.0,23.0,1401.0,131.0,1245.0,296.0,54.0
2007-02,653.0,14.0,253.0,611.0,615.0,527.0,347.0,186.0,4.0,332.0,19.0,1477.0,106.0,1308.0,312.0,44.0
2007-03,1184.0,27.0,328.0,1066.0,869.0,723.0,481.0,332.0,1.0,515.0,33.0,2235.0,200.0,1900.0,459.0,85.0
2007-04,850.0,8.0,281.0,852.0,556.0,506.0,374.0,227.0,7.0,362.0,15.0,1789.0,144.0,1569.0,348.0,67.0
